url,title,price,fabricante,sku,Articulo,Marca Comercial,Presentacion,Referencia Proveedor,Diametro,Capacidad,Categoria,Subcategoria
https://www.ferreteriasindustriales.es/burletes/8845-burlete-adheflecos-7x5mm6m-8435159737019.html,Comprar Burlete Ventana 06Mt Adh Cepillo 7X5Mm Alu Burcasa| Ferreterias Industriales ,"4,42 €","Burcasa Rtmd, S.L.",50087,Burlete Ventana,Burcasa,Unidad,127420,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/37290-perfil-adh-20x3mm-esponja-neopreno-ne-100-mt-tecnogoma-8435229602346.html,Comprar Perfil Adh 20X3Mm Esponja/Neopreno Ne 100 Mt Tecnogoma| Ferreterias Industriales ,"36,46 €",Vera Articulos De Goma S.L.-Tecnogoma-,116612,Perfil Adhesivo,Tecnogoma,Bobina 100 Metros,450752,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11844-burlete-doble-rollo-bajo-puert-4042448827449.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Gr Tesa Moll Tesatape| Ferreterias Industriales ,"14,02 €",Tesa Tape,64228,Burlete Bajo Puerta,Tesa Tape,Unidad,5418,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11130-burlete-basculan815-cmroble-8435159736869.html,"Comprar Burlete Bajo Pta 081,5Cm Torn Cepi Mad Rob Basc Burcasa| Ferreterias Industriales ","6,49 €","Burcasa Rtmd, S.L.",61748,Burlete Bajo Puerta,Burcasa,Unidad,127260,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/8834-burlete-caucho-p-6mx9mmmarron-8435159728178.html,"Comprar Burlete Pta/Vent.  9Mmx06Mt Adh ""P"" Cau Marr Burcasa| Ferreterias Industriales ","4,05 €","Burcasa Rtmd, S.L.",50074,Burlete Puerta/Ventana,Burcasa,Unidad,107180,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/47076-burlete-bajo-puerta-095cm-doble-rollo-pvc-gr-vivahogar-8422680124029.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Gr Vivahogar| Ferreterias Industriales ,"3,05 €",,126397,Burlete Bajo Puerta,Vivahogar,Unidad,VH126397,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/8835-burlete-caucho-p-6mx9mmblanco-8435159728185.html,"Comprar Burlete Pta/Vent.  9Mmx06Mt Adh ""P"" Cau Bl Burcasa| Ferreterias Industriales ","4,05 €","Burcasa Rtmd, S.L.",50075,Burlete Puerta/Ventana,Burcasa,Unidad,107190,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/47077-burlete-bajo-puerta-095cm-doble-rollo-pvc-bl-vivahogar-8422680124036.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Bl Vivahogar| Ferreterias Industriales ,"4,34 €",,126398,Burlete Bajo Puerta,Vivahogar,Unidad,VH126398,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/34356-burlete-puerta-ventana-corredera-5mt-adh-v-pp-gr-tesa-moll-4042448225825.html,"Comprar Burlete Puerta/Ventana Corredera 05Mt Adh ""V"" Pp Gr Tesa Mol| Ferreterias Industriales ","11,28 €",Tesa Tape,107841,Burlete Puerta/Ventana,Tesa Tape,Caja,05365-0000-00,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/47075-burlete-bajo-puerta-095cm-doble-rollo-pvc-marr-vivahogar-8422680124012.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Marr Vivahogar| Ferreterias Industriales ,"3,17 €",,126396,Burlete Bajo Puerta,Vivahogar,Unidad,VH126396,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/13123-burlete-adhcaugarlabio250cm-8435159715796.html,Comprar Burlete Gar 250Cm Adh Labio Alu Burcasa| Ferreterias Industriales ,"17,58 €","Burcasa Rtmd, S.L.",111138,Burlete Garaje,Burcasa,Blister,127191,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/37285-perfil-adh-10x5mm-esponja-neopreno-ne-100-mt-tecnogoma-8435229622474.html,Comprar Perfil Adh 10X5Mm Esponja/Neopreno Ne 100 Mt Tecnogoma| Ferreterias Industriales ,"26,42 €",Vera Articulos De Goma S.L.-Tecnogoma-,116607,Perfil Adhesivo,Tecnogoma,Bobina 100 Metros,450705,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/35394-burlete-bajo-pta-092cm-adh-cepi-alu-ne-burcasa-8435159736883.html,Comprar Burlete Bajo Pta 092Cm Adh Cepi Alu Ne Burcasa| Ferreterias Industriales ,"6,11 €","Burcasa Rtmd, S.L.",112761,Burlete Bajo Puerta,Burcasa,Unidad,127280,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/1952-burlete-alma-lock-2-blan82-cm-8422588000159.html,Comprar Burlete Bajo Pta 082Cm Torn Cepi Alu Bl Almalock-2 Alma| Ferreterias Industriales ,"20,07 €",Alma Componentes S.L.,9577,Burlete Bajo Puerta,Alma,Unidad,4AL2082005,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/35402-burlete-bajo-pta-40mmx01mt-tira-adh-pvc-marr-burcasa-8435159790243.html,Comprar Burlete Bajo Pta 40Mmx01Mt Tira Adh Pvc Marr Burcasa| Ferreterias Industriales ,"3,97 €","Burcasa Rtmd, S.L.",112769,Burlete Bajo Puerta,Burcasa,Unidad,107300,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/10924-burlete-adhalulabio-105blanc-8435159707784.html,Comprar Burlete Bajo Pta 105Cm Adh Labio Alu Bl Burcasa| Ferreterias Industriales ,"7,71 €","Burcasa Rtmd, S.L.",60971,Burlete Bajo Puerta,Burcasa,Unidad,128300,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/1685-burlete-caucho-e-6x9-blanco-4042448103307.html,"Comprar Burlete Pta/Vent.  9Mmx06Mt Adh ""E"" Cau Bl Tesa Moll Tesatap| Ferreterias Industriales ","7,47 €",Tesa Tape,8450,Burlete Puerta/Ventana,Tesa Tape,Blister,05463,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/13132-burlete-basculanalu93cmplat-8435159737613.html,Comprar Burlete Bajo Pta 093Cm Torn I/E Cepi Alu Pla Basc Burcasa| Ferreterias Industriales ,"12,16 €","Burcasa Rtmd, S.L.",111142,Burlete Bajo Puerta,Burcasa,Unidad,128290,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11131-burlete-basculan915-cmroble-8435159736876.html,"Comprar Burlete Bajo Pta 091,5Cm Torn Cepi Mad Rob Basc Burcasa| Ferreterias Industriales ","6,49 €","Burcasa Rtmd, S.L.",61749,Burlete Bajo Puerta,Burcasa,Unidad,127270,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/47082-burlete-ventana-06mt-cepillo-7x5mm-alu-vivahogar-8422680124098.html,Comprar Burlete Ventana 06Mt Cepillo 7X5Mm Alu Vivahogar| Ferreterias Industriales ,"2,14 €",,126404,Burlete Ventana,Vivahogar,Unidad,VH126404,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/28324-burlete-caucho-perfil-p-blanco-25mx9mm-107213-bresme-8435159787076.html,"Comprar Burlete Pta/Vent.  9Mmx25Mt Adh ""P"" Cau Bl Burcasa| Ferreterias Industriales ","8,81 €","Burcasa Rtmd, S.L.",102718,Burlete Puerta/Ventana,Burcasa,Unidad,107213,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/8836-burlete-garaje-alum125cmblan-8435159737040.html,Comprar Burlete Bajo Pta 125Cm Torn Flecos Alu Bl Burcasa| Ferreterias Industriales ,"10,33 €","Burcasa Rtmd, S.L.",50076,Burlete Bajo Puerta,Burcasa,Unidad,127450,,,Para el hogar,Burletes
